fecha_radar,departamento_codigo,departamento,evento_id,accion,nivel,notificado,canales_ok,motivo,area_lluvia_km2,area_moderada_km2,area_fuerte_km2,area_muy_fuerte_km2,pct_departamento,dbz_max,acum_1h_max_mm,municipio_acum_1h_max,acum_evento_max_mm,prom_municipal_1h_max_mm,municipio_prom_max,duracion_min,desplazamiento,rayos_15min,municipios,mensaje
2026-09-25 14:10,08,Atlántico,08-20260925-1340,inicio,amarilla,si,ntfy:ok,amarilla: lluvia moderada en 540 km² (umbral 200),2498,540,0,0,58.3,35,3.6,Repelón,2.6,2.0,Repelón,40,sur 0 km/h,40,Baranoa; Galapa; Tubará; Usiacurí; Repelón; Polonuevo; Sabanalarga; Luruaco; Piojó,"🚨 *ALERTA DE LLUVIA · ATLÁNTICO*
🟡 *Nivel amarillo:* lluvia moderada a fuerte localizada
🕘 Radar de las 2:10 p. m. (25 sep)

🌧️ *Intensidad:* moderada, hasta ~8 mm/h
📍 *Zona:* gran parte del departamento (Baranoa, Galapa, Tubará, Usiacurí, Repelón, Polonuevo y 3 más)
🗺️ *Extensión:* lluvia sobre ~2.000 km² (~60 % del departamento)
⏱️ *Duración:* lleva ~40 min
💧 *Cantidad:* hasta ~4 mm en la última hora (Repelón)
🧭 *Desplazamiento:* casi estacionaria
💨 *Viento:* del noroccidente, 11 km/h (ráfagas de 29 km/h)
⚡ *Actividad eléctrica:* 40 rayos en los últimos 15 min (satélite GOES)

*Recomendaciones:*
• Se sugiere aplazar aplicaciones de agroquímicos si la lluvia llega en las próximas horas (riesgo de lavado).
• Consultar el radar antes de programar labores de campo.

📡 Radar en vivo (plataforma en versión beta): https://agroclima-fenalce-portal.vercel.app/
_FENALCE · Equipo de Agroclimatología. Valores estimados por radar, aproximados; no reemplazan los avisos oficiales del IDEAM._"
2026-09-25 14:10,13,Bolívar,13-20260925-1220,inicio,amarilla,si,ntfy:ok,amarilla: lluvia moderada en 600 km² (umbral 200),2435,600,29,0,4.1,45,16.2,Montecristo,21.4,2.4,Clemencia,120,sur 0 km/h,105,Villanueva; Clemencia; Santa Rosa; San Estanislao; Soplaviento; Santa Catalina; Montecristo; Cartagena de Indias; Santa Rosa del Sur; Barranco de Loba; Morales,"🚨 *ALERTA DE LLUVIA · BOLÍVAR*
🟡 *Nivel amarillo:* lluvia moderada a fuerte localizada
🕘 Radar de las 2:10 p. m. (25 sep)

🌧️ *Intensidad:* fuerte, núcleos de hasta ~34 mm/h
📍 *Zona:* sector noroccidente (Villanueva, Clemencia, Santa Rosa, San Estanislao, Soplaviento, Santa Catalina y 5 más)
🗺️ *Extensión:* lluvia sobre ~1.100 km² (4 % del departamento); fuerte en ~29 km²
⏱️ *Duración:* lleva más de ~2 h
💧 *Cantidad:* hasta ~16 mm en la última hora (Montecristo); ~21 mm en las últimas 2 h
🧭 *Desplazamiento:* casi estacionaria
💨 *Viento:* en calma (ráfagas de 22 km/h)
⚡ *Actividad eléctrica:* 105 rayos en los últimos 15 min (satélite GOES)

*Recomendaciones:*
• Se sugiere aplazar aplicaciones de agroquímicos si la lluvia llega en las próximas horas (riesgo de lavado).
• Consultar el radar antes de programar labores de campo.

📡 Radar en vivo (plataforma en versión beta): https://agroclima-fenalce-portal.vercel.app/
_FENALCE · Equipo de Agroclimatología. Valores estimados por radar, aproximados; no reemplazan los avisos oficiales del IDEAM._"
2026-09-25 14:10,54,Norte de Santander,54-20260925-1220,inicio,amarilla,si,ntfy:ok,amarilla: lluvia moderada en 323 km² (umbral 200),1229,323,57,6,1.1,50,22.0,Ábrego,23.4,1.9,Ábrego,120,norte 11 km/h,29,Ábrego; Ocaña; La Playa; Cáchira; La Esperanza,"🚨 *ALERTA DE LLUVIA · NORTE DE SANTANDER*
🟡 *Nivel amarillo:* lluvia moderada a fuerte localizada
🕘 Radar de las 2:10 p. m. (25 sep)

🌧️ *Intensidad:* muy fuerte, núcleos de ~70 mm/h o más
📍 *Zona:* sector occidente (Ábrego, Ocaña, La Playa, Cáchira y La Esperanza)
🗺️ *Extensión:* lluvia sobre ~250 km² (1 % del departamento); fuerte en ~57 km²
⏱️ *Duración:* lleva más de ~2 h
💧 *Cantidad:* hasta ~22 mm en la última hora (Ábrego)
🧭 *Desplazamiento:* hacia el norte, ~11 km/h
💨 *Viento:* en calma (ráfagas de 22 km/h)
⚡ *Actividad eléctrica:* 29 rayos en los últimos 15 min (satélite GOES)

*Recomendaciones:*
• Se sugiere aplazar aplicaciones de agroquímicos si la lluvia llega en las próximas horas (riesgo de lavado).
• Consultar el radar antes de programar labores de campo.

📡 Radar en vivo (plataforma en versión beta): https://agroclima-fenalce-portal.vercel.app/
_FENALCE · Equipo de Agroclimatología. Valores estimados por radar, aproximados; no reemplazan los avisos oficiales del IDEAM._"
2026-09-25 17:30,05,Antioquia,05-20260925-1540,inicio,amarilla,si,,amarilla: lluvia fuerte en 35 km² (umbral 25),3738,149,35,0,1.8,40,21.4,El Bagre,21.4,1.8,Mutatá,120,sur 0 km/h,263,La Ceja; Mutatá; La Unión; El Bagre; Zaragoza,"🚨 *ALERTA DE LLUVIA · ANTIOQUIA*
🟡 *Nivel amarillo:* lluvia moderada a fuerte localizada
🕘 Radar de las 5:30 p. m. (25 sep)

🌧️ *Intensidad:* fuerte, núcleos de hasta ~17 mm/h
📍 *Zona:* centro del departamento (La Ceja, Mutatá, La Unión, El Bagre y Zaragoza)
🗺️ *Extensión:* lluvia sobre ~1.200 km² (2 % del departamento); fuerte en ~35 km²
⏱️ *Duración:* lleva más de ~2 h
💧 *Cantidad:* hasta ~21 mm en la última hora (El Bagre)
🧭 *Desplazamiento:* casi estacionaria
💨 *Viento:* en calma (ráfagas de 13 km/h)
⚡ *Actividad eléctrica:* 263 rayos en los últimos 15 min (satélite GOES)

*Recomendaciones:*
• Se sugiere aplazar aplicaciones de agroquímicos si la lluvia llega en las próximas horas (riesgo de lavado).
• Consultar el radar antes de programar labores de campo.

📡 Radar en vivo (plataforma en versión beta): https://agroclima-fenalce-portal.vercel.app/
_FENALCE · Equipo de Agroclimatología. Valores estimados por radar, aproximados; no reemplazan los avisos oficiales del IDEAM._"
2026-09-25 17:30,08,Atlántico,08-20260925-1340,fin,amarilla,si,,,0,0,0,0,0.0,15,0.0,,0.0,0.5,Palmar de Varela,0,,0,,"✅ *FIN DE ALERTA DE LLUVIA · ATLÁNTICO*
La lluvia significativa disminuyó hacia las 3:50 p. m. (25 sep).
Duración aproximada: ~2 h 10 min · nivel máximo: amarillo 🟡
Antes de retomar labores, verifique el estado del suelo y de los drenajes.
_FENALCE · Equipo de Agroclimatología_"
2026-09-25 17:30,23,Córdoba,23-20260925-1630,inicio,amarilla,si,,amarilla: lluvia moderada en 505 km² (umbral 200),4025,505,0,0,7.4,35,3.5,Tierralta,3.6,1.3,San Andrés de Sotavento,70,,324,Ciénaga de Oro; Chinú; Tierralta,"🚨 *ALERTA DE LLUVIA · CÓRDOBA*
🟡 *Nivel amarillo:* lluvia moderada a fuerte localizada
🕘 Radar de las 5:30 p. m. (25 sep)

🌧️ *Intensidad:* moderada, hasta ~8 mm/h
📍 *Zona:* sector suroccidente (Ciénaga de Oro, Chinú y Tierralta)
🗺️ *Extensión:* lluvia sobre ~1.900 km² (~5 % del departamento)
⏱️ *Duración:* lleva ~1 h 10 min
💧 *Cantidad:* hasta ~3 mm en la última hora (Tierralta)
💨 *Viento:* en calma
⚡ *Actividad eléctrica:* 324 rayos en los últimos 15 min (satélite GOES)

*Recomendaciones:*
• Se sugiere aplazar aplicaciones de agroquímicos si la lluvia llega en las próximas horas (riesgo de lavado).
• Consultar el radar antes de programar labores de campo.

📡 Radar en vivo (plataforma en versión beta): https://agroclima-fenalce-portal.vercel.app/
_FENALCE · Equipo de Agroclimatología. Valores estimados por radar, aproximados; no reemplazan los avisos oficiales del IDEAM._"
2026-09-25 17:30,47,Magdalena,47-20260925-1540,inicio,amarilla,si,,amarilla: lluvia moderada en 346 km² (umbral 200),6627,346,0,0,10.7,30,3.3,Puebloviejo,8.2,1.8,Puebloviejo,120,,222,Puebloviejo; Fundación; Pivijay; Zona Bananera; Sabanas de San Ángel; Aracataca,"🚨 *ALERTA DE LLUVIA · MAGDALENA*
🟡 *Nivel amarillo:* lluvia moderada a fuerte localizada
🕘 Radar de las 5:30 p. m. (25 sep)

🌧️ *Intensidad:* moderada, hasta ~4 mm/h
📍 *Zona:* centro del departamento (Puebloviejo, Fundación, Pivijay, Zona Bananera, Sabanas de San Ángel y Aracataca)
🗺️ *Extensión:* lluvia sobre ~2.500 km² (~10 % del departamento)
⏱️ *Duración:* lleva más de ~2 h
💧 *Cantidad:* hasta ~3 mm en la última hora (Puebloviejo); ~8 mm en las últimas 2 h
💨 *Viento:* en calma
⚡ *Actividad eléctrica:* 222 rayos en los últimos 15 min (satélite GOES)

*Recomendaciones:*
• Se sugiere aplazar aplicaciones de agroquímicos si la lluvia llega en las próximas horas (riesgo de lavado).
• Consultar el radar antes de programar labores de campo.

📡 Radar en vivo (plataforma en versión beta): https://agroclima-fenalce-portal.vercel.app/
_FENALCE · Equipo de Agroclimatología. Valores estimados por radar, aproximados; no reemplazan los avisos oficiales del IDEAM._"
2026-09-25 17:30,54,Norte de Santander,54-20260925-1220,fin,amarilla,si,,,537,0,0,0,0.0,25,2.2,Ábrego,0.0,1.1,La Playa,0,,0,La Playa; San Calixto; Ocaña; Hacarí; Convención; Teorama; Ábrego,"✅ *FIN DE ALERTA DE LLUVIA · NORTE DE SANTANDER*
La lluvia significativa disminuyó hacia las 5:00 p. m. (25 sep).
Duración aproximada: ~4 h 40 min · nivel máximo: amarillo 🟡
Antes de retomar labores, verifique el estado del suelo y de los drenajes.
_FENALCE · Equipo de Agroclimatología_"
2026-09-25 19:50,13,Bolívar,13-20260925-1220,fin,amarilla,si,,,57,0,0,0,0.0,25,1.1,Montecristo,0.0,0.3,Córdoba,0,,20,Córdoba,"✅ *FIN DE ALERTA DE LLUVIA · BOLÍVAR*
La lluvia significativa disminuyó hacia las 8:00 p. m. (25 sep).
Duración aproximada: ~7 h 40 min · nivel máximo: amarillo 🟡
Antes de retomar labores, verifique el estado del suelo y de los drenajes.
_FENALCE · Equipo de Agroclimatología_"
2026-09-25 19:50,20,Cesar,20-20260925-1800,inicio,amarilla,si,,"amarilla: lluvia moderada en 1,569 km² (umbral 200)",8127,1569,0,0,21.8,35,6.0,Valledupar,8.4,2.8,San Diego,120,sur 0 km/h,147,Becerril; San Diego; Agustín Codazzi; El Paso; La Paz; La Jagua de Ibirico; Valledupar; Chiriguaná,"🚨 *ALERTA DE LLUVIA · CESAR*
🟡 *Nivel amarillo:* lluvia moderada a fuerte localizada
🕘 Radar de las 7:50 p. m. (25 sep)

🌧️ *Intensidad:* moderada, hasta ~8 mm/h
📍 *Zona:* centro del departamento (Becerril, San Diego, Agustín Codazzi, El Paso, La Paz, La Jagua de Ibirico y 2 más)
🗺️ *Extensión:* lluvia sobre ~5.000 km² (~20 % del departamento)
⏱️ *Duración:* lleva más de ~2 h
💧 *Cantidad:* hasta ~6 mm en la última hora (Valledupar)
🧭 *Desplazamiento:* casi estacionaria
💨 *Viento:* del suroriente, 4 km/h
⚡ *Actividad eléctrica:* 147 rayos en los últimos 15 min (satélite GOES)

*Recomendaciones:*
• Se sugiere aplazar aplicaciones de agroquímicos si la lluvia llega en las próximas horas (riesgo de lavado).
• Consultar el radar antes de programar labores de campo.

📡 Radar en vivo (plataforma en versión beta): https://agroclima-fenalce-portal.vercel.app/
_FENALCE · Equipo de Agroclimatología. Valores estimados por radar, aproximados; no reemplazan los avisos oficiales del IDEAM._"
