codigo,departamento,cobertura_pct
05,Antioquia,100.0
08,Atlántico,100.0
11,Bogotá D.C.,100.0
13,Bolívar,100.0
15,Boyacá,100.0
17,Caldas,100.0
19,Cauca,100.0
20,Cesar,100.0
23,Córdoba,100.0
25,Cundinamarca,100.0
27,Chocó,100.0
41,Huila,100.0
47,Magdalena,100.0
50,Meta,100.0
52,Nariño,100.0
54,Norte de Santander,100.0
63,Quindío,100.0
66,Risaralda,100.0
68,Santander,100.0
70,Sucre,100.0
73,Tolima,100.0
76,Valle del Cauca,100.0
81,Arauca,100.0
85,Casanare,100.0
86,Putumayo,100.0
88,San Andrés,100.0
95,Guaviare,100.0
99,Vichada,100.0
18,Caquetá,97.2
94,Guainía,47.0
97,Vaupés,44.0
44,La Guajira,28.9
91,Amazonas,15.4
